restaurant_name,website,contact_page,google_rating,review_count
Casa Honduras Restaurant #1,http://casahondurasrestaurant1la.com/,http://casahondurasrestaurant1la.com/#contact,3.6,883.0
Jamaican Jerk House,http://www.jamaicanjerkhouse.com/,,4.4,874.0
Taqueria Guerrero Inc,https://www.facebook.com/pages/Taqueria-Guerrero-Mexico-Inc/113473795353852,https://www.facebook.com/help/637205020878504,4.5,872.0
Wendy's,https://locations.wendys.com/united-states/la/new-orleans/3138-s-carrollton-ave?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,https://www.wendys.com/contact-us,3.5,867.0
Guy's Po-Boys,https://www.facebook.com/guyspoboysnola/,,4.6,867.0
Mikimoto Restaurant,http://www.mikimotosushi.com/,,4.4,847.0
Nonno's Cajun Cuisine & Pastries,https://www.nonnoscajuncuisineandpastries.com/,,4.5,845.0
Sake Cafe uptown,https://sakecafeuptownla.com/,https://sakecafeuptownla.com/#contact,4.3,838.0
Rally's,https://locations.checkersandrallys.com/la/new-orleans/3555-general-degaulle?y_source=1_MzAyMjAxMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.checkersandrallys.com/contact-us,3.4,834.0
Rally's,https://locations.rallys.com/la/new-orleans/2371-st.-claude-avenue?y_source=1_MzAyMjAxMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.rallys.com/contact-us/,3.5,830.0
McKenzie's Chicken in a Box,https://www.facebook.com/p/McKenzies-Chicken-in-a-Box-100054544986336/,https://www.facebook.com/help/637205020878504,4.2,826.0
Wendy's,https://locations.wendys.com/united-states/la/new-orleans/4200-s-claiborne?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,https://www.wendys.com/contact-us,3.6,818.0
Budsi’s Authentic Thai,https://www.budsisthai.com/,,4.7,808.0
Rally's,https://locations.checkersandrallys.com/la/new-orleans/4460-chef-menteur-hwy?y_source=1_MzAyMjAwNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.checkersandrallys.com/contact-us,3.4,793.0
Wendy's,https://locations.wendys.com/united-states/la/new-orleans/4605-chef-menteur-hwy?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,https://www.wendys.com/contact-us,3.4,753.0
